id,image_id,question,relevant_articles,question_type,choices,answer,file_name
train_117,train_2_24,Chạy xe với tốc độ bao nhiêu km/h là vi phạm trên đoạn đường này?,"[{'law_id': 'QCVN 41:2024/BGTVT', 'article_id': '22'}, {'law_id': 'QCVN 41:2024/BGTVT', 'article_id': 'C.27'}]",Multiple choice,"{'A': 29, 'B': 40, 'C': 45, 'D': 35}",C,train_2_24.jpg
train_118,train_2_2,Đây là biển báo gì?,"[{'law_id': 'QCVN 41:2024/BGTVT', 'article_id': '22'}, {'law_id': 'QCVN 41:2024/BGTVT', 'article_id': 'B.31'}]",Multiple choice,"{'A': 'Cấm dừng xe và đỗ xe', 'B': 'Cấm đỗ xe', 'C': 'Cấm đỗ xe vào ngày lẻ', 'D': 'Không có đáp án đúng'}",D,train_2_2.jpg
train_119,train_2_44,Biển báo màu xanh có gạch đỏ là biển báo gì?,"[{'law_id': 'QCVN 41:2024/BGTVT', 'article_id': '22'}, {'law_id': 'QCVN 41:2024/BGTVT', 'article_id': 'B.31'}]",Multiple choice,"{'A': 'Cấm dừng xe và đỗ xe', 'B': 'Cấm đỗ xe vào ngày chẵn', 'C': 'Cấm đỗ xe vào ngày lẻ', 'D': 'Không có đáp án đúng'}",D,train_2_44.jpg
train_120,train_2_4,Biển báo nào không được xuất hiện trong hình trên?,"[{'law_id': 'QCVN 41:2024/BGTVT', 'article_id': '22'}, {'law_id': 'QCVN 41:2024/BGTVT', 'article_id': 'B.4'}, {'law_id': 'QCVN 41:2024/BGTVT', 'article_id': 'B.11'}, {'law_id': 'QCVN 41:2024/BGTVT', 'article_id': 'B.10'}]",Multiple choice,"{'A': 'Cấm xe máy', 'B': 'Cấm xe gắn máy', 'C': 'Cấm xe đạp', 'D': 'Cấm xe ô tô khách'}",D,train_2_4.jpg
train_121,train_2_33,"Dựa theo biển báo này, những loại phương tiện nào được phép đi trong nhóm biển số R.415?","[{'law_id': 'QCVN 41:2024/BGTVT', 'article_id': '32'}, {'law_id': 'QCVN 41:2024/BGTVT', 'article_id': 'D.16'}]",Multiple choice,"{'A': 'Ô tô, xe mô tô, xe đạp, xe ô tô tải nhỏ', 'B': 'Ô tô, xe mô tô, xe đạp', 'C': 'Ô tô, xe mô tô, xe đạp, xe ô tô tải nhỏ', 'D': 'Ô tô, xe gắn máy, xe đạp, xe ba bánh loại có động cơ'}",D,train_2_33.jpg
train_122,train_2_32,Nội dung của 2 loại biển báo trên là gì?,"[{'law_id': 'QCVN 41:2024/BGTVT', 'article_id': '22'}, {'law_id': 'QCVN 41:2024/BGTVT', 'article_id': 'B.25'}, {'law_id': 'QCVN 41:2024/BGTVT', 'article_id': 'B.26'}]",Multiple choice,"{'A': 'Cấm vượt', 'B': 'Cấm đỗ xe', 'C': 'Cấm xe ô tô', 'D': 'Cấm xe ô tô và xe tải'}",A,train_2_32.jpg
train_123,train_2_15,Xe chạy với tốc độ 70 km/h là vi phạm luật Giao thông đường bộ. Đúng hay sai ?,"[{'law_id': 'QCVN 41:2024/BGTVT', 'article_id': '32'}, {'law_id': 'QCVN 41:2024/BGTVT', 'article_id': 'D.6'}, {'law_id': 'QCVN 41:2024/BGTVT', 'article_id': '22'}, {'law_id': 'QCVN 41:2024/BGTVT', 'article_id': 'B.27'}, {'law_id': 'QCVN 41:2024/BGTVT', 'article_id': '47'}, {'law_id': 'QCVN 41:2024/BGTVT', 'article_id': 'P.2'}]",Yes/No,,Sai,train_2_15.jpg
train_124,train_2_37,Còn cách 6km nữa là đường Võ Nguyên Giáp. Đúng hay sai?,"[{'law_id': 'QCVN 41:2024/BGTVT', 'article_id': '36'}, {'law_id': 'QCVN 41:2024/BGTVT', 'article_id': 'E.14'}]",Yes/No,,Đúng,train_2_37.jpg
train_125,train_2_20,Ý nghĩa của biển báo này là các xe chỉ được rẽ phải. Đúng hay sai?,"[{'law_id': 'QCVN 41:2024/BGTVT', 'article_id': '32'}, {'law_id': 'QCVN 41:2024/BGTVT', 'article_id': 'D.1a'}]",Yes/No,,Đúng,train_2_20.jpg
train_126,train_2_34,Xe có tải trọng / tổng tải trọng bao nhiêu được phép lưu thông trên đoạn đường này trong khung giờ biển báo cấm có hiệu lực?,"[{'law_id': 'QCVN 41:2024/BGTVT', 'article_id': '22'}, {'law_id': 'QCVN 41:2024/BGTVT', 'article_id': 'B.6'}]",Multiple choice,"{'A': 'Xe có tải trọng 2,5 tấn trở xuống và tổng tải trọng 5 tấn trở xuống', 'B': 'Xe có tải trọng trên 2,5 tấn nhưng tổng tải trọng dưới 5 tấn', 'C': 'Xe có tải trọng dưới 2,5 tấn nhưng tổng tải trọng trên 5 tấn\n', 'D': 'Xe có tải trọng trên 2,5 tấn và tổng tải trọng trên 5 tấn'}",A,train_2_34.jpg
train_127,train_2_17,Biển báo nào không được đề cập trong hình trên,"[{'law_id': 'QCVN 41:2024/BGTVT', 'article_id': '28'}, {'law_id': 'QCVN 41:2024/BGTVT', 'article_id': 'C.3'}, {'law_id': 'QCVN 41:2024/BGTVT', 'article_id': 'C.27'}, {'law_id': 'QCVN 41:2024/BGTVT', 'article_id': 'C.45'}, {'law_id': 'QCVN 41:2024/BGTVT', 'article_id': '22'}, {'law_id': 'QCVN 41:2024/BGTVT', 'article_id': 'B.24'}]",Multiple choice,"{'A': 'Cấm rẽ trái và quay đầu xe', 'B': 'Đi chậm', 'C': 'Đường bị thu hẹp về phía phải', 'D': 'Công trường'}",A,train_2_17.jpg
train_128,train_2_50,Còn bao nhiêu km nữa là đến Cầu Tiên Sơn?,"[{'law_id': 'QCVN 41:2024/BGTVT', 'article_id': '36'}, {'law_id': 'QCVN 41:2024/BGTVT', 'article_id': 'E.14'}]",Multiple choice,"{'A': '2km', 'B': '3km', 'C': '4km', 'D': '5km'}",B,train_2_50.jpg
train_129,train_2_46,Loại xe không bị cấm ở hình trên là xe nào?,"[{'law_id': 'QCVN 41:2024/BGTVT', 'article_id': '22'}, {'law_id': 'QCVN 41:2024/BGTVT', 'article_id': 'B.10'}]",Multiple choice,"{'A': 'Xe đạp', 'B': 'Xe máy', 'C': 'Xe thô xơ', 'D': 'Xe ô tô'}",D,train_2_46.jpg
train_130,train_2_39,Biển hình tròn viền đỏ có ý nghĩa là gì?,"[{'law_id': 'QCVN 41:2024/BGTVT', 'article_id': '22'}, {'law_id': 'QCVN 41:2024/BGTVT', 'article_id': 'B.27'}]",Multiple choice,"{'A': 'Xe không được chạy với tốc độ vượt quá 60 km/h', 'B': 'Xe không được chạy với tốc độ dưới 60 km/h', 'C': 'Xe không được chạy với tốc độ vượt quá 60 m/s', 'D': 'Xe không được chạy với tốc độ dưới 60 m/s'}",A,train_2_39.jpg
train_131,train_2_48,Biển báo nào không xuất hiện trong hình trên?,"[{'law_id': 'QCVN 41:2024/BGTVT', 'article_id': '22'}, {'law_id': 'QCVN 41:2024/BGTVT', 'article_id': 'B.32'}, {'law_id': 'QCVN 41:2024/BGTVT', 'article_id': 'B.31'}, {'law_id': 'QCVN 41:2024/BGTVT', 'article_id': '28'}, {'law_id': 'QCVN 41:2024/BGTVT', 'article_id': 'C.1'}, {'law_id': 'QCVN 41:2024/BGTVT', 'article_id': 'B.35'}]",Multiple choice,"{'A': 'Nhường đường cho xe cơ giới đi ngược chiều qua đường hẹp', 'B': 'Hết tất cả các lệnh cấm', 'C': 'Cấm đỗ xe', 'D': 'Chỗ ngoặt nguy hiểm vòng bên trái'}",B,train_2_48.jpg
train_132,train_2_30,"Trên đoạn đường có biển báo này, có loại phương tiện giao thông nào bị giới hạn về chiều cao không ? Nếu có, giới hạn đó là bao nhiêu?","[{'law_id': 'QCVN 41:2024/BGTVT', 'article_id': '32'}, {'law_id': 'QCVN 41:2024/BGTVT', 'article_id': 'D.16'}]",Multiple choice,"{'A': 'Đối với xe lưu thông có chiều cao không được vượt quá 3m so với mặt đường', 'B': 'Đối với xe lưu thông có chiều cao không được vượt quá 2m so với mặt đường', 'C': 'Đối với xe lưu thông có chiều cao không được vượt quá 2.5m so với mặt đường', 'D': 'Không đề cập'}",D,train_2_30.jpg
train_133,train_2_14,Xe ô tô được phép vượt xe trên đoạn đường này. Đúng hay sai?,"[{'law_id': 'QCVN 41:2024/BGTVT', 'article_id': '22'}, {'law_id': 'QCVN 41:2024/BGTVT', 'article_id': 'B.25'}]",Yes/No,,Sai,train_2_14.jpg
train_134,train_2_11,Xe được phép dừng và đỗ xe trên đoạn đường này. Đúng hay sai?,"[{'law_id': 'QCVN 41:2024/BGTVT', 'article_id': '22'}, {'law_id': 'QCVN 41:2024/BGTVT', 'article_id': 'B.30'}]",Yes/No,,Sai,train_2_11.jpg
train_135,train_2_31,Đây là biển báo nhiều chỗ ngoặt nguy hiểm liên tiếp. Đúng hay sai?,"[{'law_id': 'QCVN 41:2024/BGTVT', 'article_id': '28'}, {'law_id': 'QCVN 41:2024/BGTVT', 'article_id': 'C.2'}]",Yes/No,,Đúng,train_2_31.jpg
train_136,train_2_8,Đây là nhóm biển báo nguy hiểm và cảnh báo đúng không?,"[{'law_id': 'QCVN 41:2024/BGTVT', 'article_id': '27'}, {'law_id': 'QCVN 41:2024/BGTVT', 'article_id': '11'}]",Yes/No,,Đúng,train_2_8.jpg
train_137,train_2_5,Đây là biển báo gì?,"[{'law_id': 'QCVN 41:2024/BGTVT', 'article_id': '22'}, {'law_id': 'QCVN 41:2024/BGTVT', 'article_id': 'B.30'}]",Multiple choice,"{'A': 'Cấm dừng xe và đỗ xe', 'B': 'Cấm đỗ xe', 'C': 'Cấm đỗ xe vào ngày lẻ', 'D': 'Cấm đỗ xe vào ngày chẵn'}",A,train_2_5.jpg
train_138,train_2_22,Đây là biển báo gì?,"[{'law_id': 'QCVN 41:2024/BGTVT', 'article_id': '22'}, {'law_id': 'QCVN 41:2024/BGTVT', 'article_id': 'B.31'}]",Multiple choice,"{'A': 'Cấm dừng xe và đỗ xe', 'B': 'Cấm đỗ xe', 'C': 'Cấm đỗ xe vào ngày lẻ', 'D': 'Cấm đỗ xe vào ngày chẵn'}",D,train_2_22.jpg
train_139,train_3_22,Buổi sáng từ 6:30 đến 8:30 loại phương tiện nào bị cấm di chuyển trên đoạn đường này ?,"[{'law_id': 'QCVN 41:2024/BGTVT', 'article_id': '22'}, {'law_id': 'QCVN 41:2024/BGTVT', 'article_id': 'B.3; 41'}, {'law_id': 'QCVN 41:2024/BGTVT', 'article_id': 'B.27'}]",Multiple choice,"{'A': 'Xe buýt', 'B': 'Xe mô tô 2 bánh', 'C': 'Xe khách trên 16 chỗ', 'D': 'Xe đạp'}",C,train_3_22.jpg
train_140,train_3_2,Tác dụng của loại biển báo này là gì ?,"[{'law_id': 'QCVN 41:2024/BGTVT', 'article_id': '28'}, {'law_id': 'QCVN 41:2024/BGTVT', 'article_id': 'C.46'}]",Multiple choice,"{'A': 'Biểu thị các điều cấm. Người tham gia giao thông phải chấp hành những điều cấm mà biển đã báo.', 'B': 'Báo cho người tham gia giao thông biết trước tính chất của sự nguy hiểm hoặc các điều cần chú ý phòng ngừa trên tuyến đường', 'C': 'Kết hợp với các biển báo chính nhằm thuyết minh, bổ sung để hiểu rõ ý nghĩa của biển báo chính', 'D': 'Chỉ dẫn hướng đi hoặc các điều cần thiết nhằm giúp người dân tham gia giao thông trong việc điều khiển phương tiện và hướng dẫn giao thông trên đường được thuận lời, đảm bảo an toàn'}",B,train_3_2.jpg
train_141,train_3_9,Nội dung của biển báo này là gì ?,"[{'law_id': 'QCVN 41:2024/BGTVT', 'article_id': '22'}, {'law_id': 'QCVN 41:2024/BGTVT', 'article_id': 'B.21'}]",Multiple choice,"{'A': 'Cự ly tối đa giữa hai xe', 'B': 'Cự ly giữa hai xe', 'C': 'Hạn chế chiều dài ô tô', 'D': 'Cự ly tối thiểu giữa hai xe'}",D,train_3_9.jpg
train_142,train_3_4,"Điền vào chỗ trống: Nội dung của biển báo là ""Nơi người đi bộ ...""","[{'law_id': 'QCVN 41:2024/BGTVT', 'article_id': '36'}, {'law_id': 'QCVN 41:2024/BGTVT', 'article_id': 'E.23a'}]",Multiple choice,"{'A': 'sang ngang', 'B': 'đi thẳng', 'C': 'qua đường', 'D': 'quay lại'}",A,train_3_4.jpg
train_143,train_3_1,Biển báo này thuộc loại biển báo nào ?,"[{'law_id': 'QCVN 41:2024/BGTVT', 'article_id': '22'}, {'law_id': 'QCVN 41:2024/BGTVT', 'article_id': 'B.15'}]",Multiple choice,"{'A': 'Biển báo nguy hiểm và cảnh báo', 'B': 'Biển báo chỉ dẫn ', 'C': 'Biển báo cấm', 'D': 'Biển báo hiệu lệnh'}",C,train_3_1.jpg
train_144,train_3_6,Những đối tượng nào được phép lên cầu trong trường hợp này ?,"[{'law_id': 'QCVN 41:2024/BGTVT', 'article_id': '32'}, {'law_id': 'QCVN 41:2024/BGTVT', 'article_id': 'D.11'}, {'law_id': 'QCVN 41:2024/BGTVT', 'article_id': '22'}, {'law_id': 'QCVN 41:2024/BGTVT', 'article_id': 'B.10'}, {'law_id': 'QCVN 41:2024/BGTVT', 'article_id': 'B.8'}, {'law_id': 'QCVN 41:2024/BGTVT', 'article_id': 'B.12'}]",Multiple choice,"{'A': 'xe đạp, xe ưu tiên', 'B': 'xe ô tô, xe tải', 'C': 'xe máy, xe ô tô', 'D': 'xe tải, người đi bộ'}",C,train_3_6.jpg
train_145,train_3_15,Ý nghĩa của biển báo phụ trong hình là gì ?,"[{'law_id': 'QCVN 41:2024/BGTVT', 'article_id': '41'}, {'law_id': 'QCVN 41:2024/BGTVT', 'article_id': 'F.1'}]",Multiple choice,"{'A': 'Khoảng cách đến đối tượng báo hiệu', 'B': 'Hướng tác dụng của biển', 'C': 'Làn đường', 'D': 'Phạm vi tác dụng của biển'}",D,train_3_15.jpg
train_146,train_3_10,"Điền vào chỗ trống: Nội dung của biển báo là ""Chỉ dẫn ... trạm dừng nghỉ""","[{'law_id': 'QCVN 41:2024/BGTVT', 'article_id': '46'}, {'law_id': 'QCVN 41:2024/BGTVT', 'article_id': '47.7'}]",Multiple choice,"{'A': 'khoảng cách đến ', 'B': 'hướng rẽ đến', 'C': 'nơi đỗ xe trong', 'D': 'lối vào'}",A,train_3_10.jpg
train_147,train_3_20,"Biển báo nền vàng, viền đen, chữ màu đen trong hình thuộc loại biển báo nào ?","[{'law_id': 'QCVN 41:2024/BGTVT', 'article_id': '46'}, {'law_id': 'QCVN 41:2024/BGTVT', 'article_id': '47.22'}]",Multiple choice,"{'A': 'Biển báo nguy hiểm và cảnh báo', 'B': 'Biển báo chỉ dẫn ', 'C': 'Biển báo cấm', 'D': 'Biển báo hiệu lệnh'}",B,train_3_20.jpg
train_148,train_3_24,"Biển báo là ""Biển phân làn đường cho từng phương tiện"", đúng hay sai ?","[{'law_id': 'QCVN 41:2024/BGTVT', 'article_id': '32'}, {'law_id': 'QCVN 41:2024/BGTVT', 'article_id': 'D.16'}]",Yes/No,,Sai,train_3_24.jpg
train_149,train_3_7,"""Xe ô tô đang di chuyển ở làn giữa được phép di chuyển qua làn trong cùng bên phải không"", đúng hay sai ?","[{'law_id': 'QCVN 41:2024/BGTVT', 'article_id': '32'}, {'law_id': 'QCVN 41:2024/BGTVT', 'article_id': 'D.16'}]",Yes/No,,Sai,train_3_7.jpg
train_150,train_3_11,"""Xe ưu tiên khi đang làm nhiệm vụ khẩn cấp và gặp biển báo này thì vẫn được phép di chuyển với tốc độ tối đa lớn hơn 40 km/h nếu bật đầy đủ đèn, còi theo quy định."", đúng hay sai ?","[{'law_id': 'QCVN 41:2024/BGTVT', 'article_id': '22'}, {'law_id': 'QCVN 41:2024/BGTVT', 'article_id': 'B.27'}]",Yes/No,,Đúng,train_3_11.jpg
train_151,train_3_18,Giới hạn chiều cao của phương tiện giao thông được phép đi vào hầm là bao nhiêu ?,"[{'law_id': 'QCVN 41:2024/BGTVT', 'article_id': '22'}, {'law_id': 'QCVN 41:2024/BGTVT', 'article_id': 'B.17'}]",Multiple choice,"{'A': '4 m', 'B': '4.3 m', 'C': '3 m', 'D': '3.4 m'}",B,train_3_18.jpg
train_152,train_3_18,Loại phương tiện giao thông nào KHÔNG được phép đi vào hầm ?,"[{'law_id': 'QCVN 41:2024/BGTVT', 'article_id': '22'}, {'law_id': 'QCVN 41:2024/BGTVT', 'article_id': 'B.10'}]",Multiple choice,"{'A': 'xe ưu tiên', 'B': 'xe buýt', 'C': 'xe gắn máy', 'D': 'xe đạp'}",D,train_3_18.jpg
train_153,train_3_19,"""Đây là biển báo giao nhau với đường sắt không có rào chắn"", đúng hay sai ?","[{'law_id': 'QCVN 41:2024/BGTVT', 'article_id': '28'}, {'law_id': 'QCVN 41:2024/BGTVT', 'article_id': 'C.10'}]",Yes/No,,Sai,train_3_19.jpg
train_154,train_3_13,"""Trong hình có biển báo cấm dừng và đỗ xe"", đúng hay sai ?","[{'law_id': 'QCVN 41:2024/BGTVT', 'article_id': '22'}, {'law_id': 'QCVN 41:2024/BGTVT', 'article_id': 'B.30'}]",Yes/No,,Đúng,train_3_13.jpg
train_155,train_3_17,"""Biển báo cấm trong hình có nội dung là cấm rẽ phải"", đúng hay sai ?","[{'law_id': 'QCVN 41:2024/BGTVT', 'article_id': '22'}, {'law_id': 'QCVN 41:2024/BGTVT', 'article_id': 'B.23'}]",Yes/No,,Sai,train_3_17.jpg
train_156,train_3_18,"Biển báo ""cấm người đi bộ"" trong hình có ý nghĩa gì?","[{'law_id': 'QCVN 41:2024/BGTVT', 'article_id': '22'}, {'law_id': 'QCVN 41:2024/BGTVT', 'article_id': 'B.12'}]",Multiple choice,"{'A': 'Người đi bộ được phép đi nếu có làn riêng\n', 'B': 'Người đi bộ không được phép đi vào đoạn đường có biển', 'C': 'Người đi bộ chỉ được phép đi vào ban đêm', 'D': 'Người đi bộ được phép đi nếu mang theo giấy tờ tùy thân'}",B,train_3_18.jpg
train_157,train_3_18,Ý nghĩa của biển báo giới hạn tốc độ trong hình là gì?,"[{'law_id': 'QCVN 41:2024/BGTVT', 'article_id': '22'}, {'law_id': 'QCVN 41:2024/BGTVT', 'article_id': 'B.27'}]",Multiple choice,"{'A': 'Xe phải chạy với tốc độ tối thiểu là 50 km/h\n', 'B': 'Xe phải chạy với tốc độ 50 km/h', 'C': 'Xe không được phép chạy với tốc độ dưới 50km/h', 'D': 'Xe không được phép chạy với tóc độ vượt quá 50km/h'}",D,train_3_18.jpg
train_158,train_3_18,"Biển báo ""cấm bấm còi"" có hiệu lực với loại phương tiện nào ?","[{'law_id': 'QCVN 41:2024/BGTVT', 'article_id': '22'}, {'law_id': 'QCVN 41:2024/BGTVT', 'article_id': 'B.38'}]",Multiple choice,"{'A': 'Chỉ xe đạp', 'B': 'Tất cả các loại phương tiện', 'C': 'Chỉ xe ô tô', 'D': 'Chỉ người đi bộ'}",B,train_3_18.jpg
train_159,train_3_21,Nội dung của biển báo chỉ dẫn trong hình là gì ?,"[{'law_id': 'QCVN 41:2024/BGTVT', 'article_id': '36'}, {'law_id': 'QCVN 41:2024/BGTVT', 'article_id': 'E.9'}]",Multiple choice,"{'A': 'Chỉ dẫn vị trí quay đầu xe', 'B': 'Chỉ dẫn những nơi được phép đỗ xe, những bãi đỗ xe, bến xe, v.v...', 'C': 'Chỉ dẫn những đoạn đường chạy một chiều', 'D': 'Chỉ dẫn khu vực được phép quay đầu xe'}",A,train_3_21.jpg
train_160,train_3_21,Biển báo trong hình thuộc loại biển báo gì ?,"[{'law_id': 'QCVN 41:2024/BGTVT', 'article_id': '36'}, {'law_id': 'QCVN 41:2024/BGTVT', 'article_id': 'E.9'}]",Multiple choice,"{'A': 'Biển báo nguy hiểm', 'B': 'Biển báo cấm ', 'C': 'Biển báo chỉ dẫn ', 'D': 'Biển báo phụ'}",C,train_3_21.jpg
train_161,train_3_12,"Biển báo hình tròn viền đỏ, có biểu tượng xe tải và xe khách từ 16 chỗ trở lên, có ý nghĩa gì?","[{'law_id': 'QCVN 41:2024/BGTVT', 'article_id': '22'}, {'law_id': 'QCVN 41:2024/BGTVT', 'article_id': 'B.7'}]",Multiple choice,"{'A': 'Cấm xe tải dưới 4 tấn và xe khách dưới 16 chỗ\n', 'B': 'Cấm tất cả các phương tiện lưu thông vào', 'C': 'Cấm xe tải từ 4 tấn và xe khách từ 16 chỗ trở lên đi vào', 'D': 'Chỉ cho phép xe công vụ và xe cá nhân vào'}",C,train_3_12.jpg
train_162,train_3_12,"Theo biển phụ màu xanh bên dưới biển cấm, phương tiện nào được phép đi vào khu vực cấm?","[{'law_id': 'QCVN 41:2024/BGTVT', 'article_id': '41'}, {'law_id': 'QCVN 41:2024/BGTVT', 'article_id': 'F.11'}]",Multiple choice,"{'A': 'Xe du lịch 29 chỗ chở khách\n', 'B': 'Xe buýt đưa đón học sinh', 'C': 'Xe taxi', 'D': 'Xe tải chở hàng hóa thông thường'}",B,train_3_12.jpg
train_163,train_3_18,"Đối với trường hợp trong hình này, ""Người điều khiển xe đạp được phép đi vào hầm"", đúng hay sai?","[{'law_id': 'QCVN 41:2024/BGTVT', 'article_id': '22'}, {'law_id': 'QCVN 41:2024/BGTVT', 'article_id': 'B.10'}]",Yes/No,,Sai,train_3_18.jpg
train_164,train_3_18,"Đối với trường hợp trong hình này, ""Xe tải có chiều cao 1.7m có thể đi vào hầm"", đúng hay sai?","[{'law_id': 'QCVN 41:2024/BGTVT', 'article_id': '22'}, {'law_id': 'QCVN 41:2024/BGTVT', 'article_id': 'B.17'}]",Yes/No,,Đúng,train_3_18.jpg
train_165,train_3_18,"Đối với trường hợp trong hình này, ""Khi di chuyển trong hầm, xe được phép di chuyển với tốc độ 60km/h"", đúng hay sai?","[{'law_id': 'QCVN 41:2024/BGTVT', 'article_id': '22'}, {'law_id': 'QCVN 41:2024/BGTVT', 'article_id': 'B.27'}]",Yes/No,,Sai,train_3_18.jpg
train_166,train_3_23,"Theo biển báo chỉ dẫn, phạm vi đỗ xe của xe ô tô là gì ? ","[{'law_id': 'QCVN 41:2024/BGTVT', 'article_id': '41'}, {'law_id': 'QCVN 41:2024/BGTVT', 'article_id': 'F.5'}]",Multiple choice,"{'A': 'Trong phạm vi vạch sơn và trong lòng đường', 'B': 'Trong phạm vi vỉa hè', 'C': 'Trong phạm vi lòng đường và ngoài phạm vị vạch sơn', 'D': 'Ngoài phạm vi vạch sơn'}",A,train_3_23.jpg
train_167,train_3_3,Loại phương tiện giao thông nào KHÔNG được phép đi vào đoạn đường này trong khung giờ từ 10:00 tới 12:00?,"[{'law_id': 'QCVN 41:2024/BGTVT', 'article_id': '22'}, {'law_id': 'QCVN 41:2024/BGTVT', 'article_id': 'B.10'}]",Multiple choice,"{'A': 'Xe ô tô', 'B': 'Xe máy', 'C': 'Xe đạp', 'D': 'Xe buýt'}",C,train_3_3.jpg
train_168,train_3_3,Khối lượng chuyên chở tối đa của xe ô tô tải khi đi vào đoạn đường này là bao nhiêu?,"[{'law_id': 'QCVN 41:2024/BGTVT', 'article_id': '22'}, {'law_id': 'QCVN 41:2024/BGTVT', 'article_id': 'B.6'}]",Multiple choice,"{'A': '1 tấn', 'B': '1.25 tấn', 'C': '2.5 tấn', 'D': '25 tấn'}",B,train_3_3.jpg
train_169,train_3_3,Nội dung của biển báo chỉ dẫn trong hình là gì ?,"[{'law_id': 'QCVN 41:2024/BGTVT', 'article_id': '32'}, {'law_id': 'QCVN 41:2024/BGTVT', 'article_id': 'D.11'}]",Multiple choice,"{'A': 'Đường ô tô và mô tô', 'B': 'Đường dành cho ô tô', 'C': 'Hết đường cho ô tô và mô tô', 'D': 'Đường dành cho xe máy'}",A,train_3_3.jpg
train_170,train_3_3,Biển báo cấm xe máy có hiệu lực trong khung thời gian nào ?,"[{'law_id': 'QCVN 41:2024/BGTVT', 'article_id': '41'}, {'law_id': 'QCVN 41:2024/BGTVT', 'article_id': 'F.10'}, {'law_id': 'QCVN 41:2024/BGTVT', 'article_id': '22'}, {'law_id': 'QCVN 41:2024/BGTVT', 'article_id': 'B.4'}]",Multiple choice,"{'A': 'Từ 16:00 đến 20:00 ', 'B': 'Từ 6:00 đến 19:30 ', 'C': 'Từ 6:00 đến 10:00 ', 'D': 'Từ 16:00 đến 19:30'}",D,train_3_3.jpg
train_171,train_3_3,Xe ô tô được phép di chuyển trên đoạn đường này trong khung thời gian nào?,"[{'law_id': 'QCVN 41:2024/BGTVT', 'article_id': '32'}, {'law_id': 'QCVN 41:2024/BGTVT', 'article_id': 'D.11'}]",Multiple choice,"{'A': 'Từ 6:00 đến 9:00', 'B': 'Từ 16:00 đến 19:30', 'C': 'Tất cả các khoảng thời gian', 'D': 'Từ 6:00 đến 19:30'}",C,train_3_3.jpg
train_172,train_3_3,Có bao nhiêu biển báo cấm trong hình ?,"[{'law_id': 'QCVN 41:2024/BGTVT', 'article_id': '22'}, {'law_id': 'QCVN 41:2024/BGTVT', 'article_id': 'B.4'}, {'law_id': 'QCVN 41:2024/BGTVT', 'article_id': 'B.10'}, {'law_id': 'QCVN 41:2024/BGTVT', 'article_id': 'B.6'}]",Multiple choice,"{'A': 2, 'B': 3, 'C': 4, 'D': 5}",B,train_3_3.jpg
train_173,train_3_3,"""Xe máy được phép di chuyển trên đoạn đường này từ 6:00 đến 9:00."", đúng hay sai ?","[{'law_id': 'QCVN 41:2024/BGTVT', 'article_id': '41'}, {'law_id': 'QCVN 41:2024/BGTVT', 'article_id': 'F.10; 22'}, {'law_id': 'QCVN 41:2024/BGTVT', 'article_id': 'B.4'}]",Yes/No,,Sai,train_3_3.jpg
train_174,train_3_16,Biển báo trong hình thuộc loại biển báo nào ?,"[{'law_id': 'QCVN 41:2024/BGTVT', 'article_id': '22'}, {'law_id': 'QCVN 41:2024/BGTVT', 'article_id': 'B.24'}]",Multiple choice,"{'A': 'Biển báo chỉ dẫn ', 'B': 'Biển báo hiệu lệnh', 'C': 'Biến báo cấm', 'D': 'Biển báo nguy hiểm'}",C,train_3_16.jpg
train_175,train_3_16,Nội dung của biển báo này là gì ?,"[{'law_id': 'QCVN 41:2024/BGTVT', 'article_id': '22'}, {'law_id': 'QCVN 41:2024/BGTVT', 'article_id': 'B.24'}]",Multiple choice,"{'A': 'Cấm rẽ trái', 'B': 'Cấm quay đầu xe', 'C': 'Cấm rẽ phải', 'D': 'Đường cấm'}",B,train_3_16.jpg
train_176,train_3_25,"Trong khung giờ từ 6:00 đến 22:00, loại phương tiện nào bị cấm di chuyển trên đoạn đường này?","[{'law_id': 'QCVN 41:2024/BGTVT', 'article_id': '22'}, {'law_id': 'QCVN 41:2024/BGTVT', 'article_id': 'B.3; 41'}, {'law_id': 'QCVN 41:2024/BGTVT', 'article_id': 'F.10'}]",Multiple choice,"{'A': 'Xe ô tô', 'B': 'Xe ưu tiên', 'C': 'Xe tải', 'D': 'Xe buýt'}",A,train_3_25.jpg
train_177,train_3_25,"Nội dung của biển báo hình chữ nhật, nền xanh, hình màu đen, có đường gạch chéo màu đỏ là gì ?","[{'law_id': 'QCVN 41:2024/BGTVT', 'article_id': '32'}, {'law_id': 'QCVN 41:2024/BGTVT', 'article_id': 'D.21'}, {'law_id': 'QCVN 41:2024/BGTVT', 'article_id': '11'}]",Multiple choice,"{'A': 'Đường hầm', 'B': 'Kết thúc đường hầm', 'C': 'Cấm vào đường hầm', 'D': 'Bắt đầu đường hầm'}",B,train_3_25.jpg
